,Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths,observationdate_value,count
5647,3674,Media,11.56,104.89,Asia,Cambodia,Phnom Penh,Pong Peay,Unknown,12/1/04,12/1/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",7500.0,3300.0,3300.0,,,,,,,2004.03288,1
72898,3682,Other,17.516389999999998,101.07167,Asia,Lao People's Democratic Republic,Xaignabouli,Ban Nonsavang,Unknown,15/01/2004,27/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2100.0,2100.0,300.0,,,,,,2004.0411,2
53150,4118,Other,18.03361,102.63221999999999,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Dongdok,Unknown,16/01/2004,16/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2600.0,2600.0,7950.0,,,,,,2004.04384,3
2556,4164,Other,11.59,104.88,Asia,Cambodia,Phnom Penh,Boeung Daun Pa,Unknown,16/01/2004,5/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, goose",,43.0,34.0,9.0,,,,,,2004.04384,4
57203,4130,Other,18.094720000000002,102.90278,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Nonsomboun,Unknown,17/01/2004,17/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,3388.0,3388.0,6000.0,,,,,,2004.04658,5
72896,4086,Other,24.866670000000003,67.05,Asia,Pakistan,Sindh,Karachi,Unknown,19/01/2004,27/01/2004,Confirmed,Influenza - Avian,LPAI,"domestic, chicken",6400000.0,2500000.0,1200000.0,,500000.0,,,,,2004.05205,6
61357,4148,Other,17.51667,104.76666999999999,Asia,Lao People's Democratic Republic,Khammouan,Ban Phon Savanh,Unknown,19/01/2004,19/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,3394.0,3394.0,1906.0,,,,,,2004.05205,7
61360,4180,Other,11.44,105.12,Asia,Cambodia,Kandal,Preak Thom,Unknown,19/01/2004,19/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, guinea fowl, domestic, chicken, domestic, goose, domestic, turkey",267.0,207.0,207.0,16.0,,,,,,2004.05205,8
952,3704,Other,24.89333,102.79666999999999,Asia,China,Yunnan Sheng,Chenggong,Unknown,20/01/2004,2/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",78000.0,78000.0,4820.0,145197.0,,,,,,2004.05479,9
62643,4122,Other,18.035829999999997,102.64972,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Saphang Meuk,Unknown,20/01/2004,20/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2500.0,2500.0,250.0,,,,,,2004.05479,10
956,3608,Other,28.889,120.04700000000001,Asia,China,Zhejiang Sheng,Yong kang,Exact,20/01/2004,2/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",850.0,550.0,550.0,67789.0,,,,,,2004.05479,11
62644,4134,Other,18.015279999999997,102.39667,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Ang Gnai,Unknown,20/01/2004,20/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,4.0,4.0,,,,,,,2004.05479,12
2555,3710,Other,28.293000000000003,117.245,Asia,China,Jiangxi Sheng,Huangqiao,Exact,22/01/2004,5/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",8600.0,8600.0,8600.0,21955.0,,,,,,2004.06027,13
954,3610,Other,43.8,87.58333,Asia,China,Xinjiang Uygur Zizhiqu,Urumqi,Unknown,23/01/2004,2/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",6400.0,4508.0,4508.0,2342.0,,,,,,2004.06301,14
69475,4106,Other,18.0,102.66667,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Nong Nieng,Unknown,24/01/2004,24/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1600.0,1600.0,1350.0,,,,,,2004.06575,15
76351,3590,Other,23.671999999999997,116.646,Asia,China,Guangdong Sheng,Gugang,Exact,24/01/2004,31/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",180.0,,80.0,7610.0,,,,,,2004.06575,16
76350,3586,Other,30.4,114.83333,Asia,China,Hubei Sheng,Ezhou,Unknown,25/01/2004,31/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, goose",564.0,200.0,200.0,,,,,,,2004.06849,17
3474,3724,Other,24.75861,103.26528,Asia,China,Yunnan Sheng,Lufu,Unknown,26/01/2004,6/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",7400.0,3474.0,2653.0,253389.0,,,,,,2004.07123,18
5722,3924,Other,27.276670000000003,111.66806000000001,Asia,China,Hunan Sheng,Niumasi,Unknown,27/01/2004,12/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,840.0,457.0,58600.0,,,,,,2004.07397,19
73711,3906,Other,30.771109999999997,111.32167,Asia,China,Hubei Sheng,Yichang,Unknown,28/01/2004,28/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,,4703.0,19313.0,,,,,,2004.07671,20
73712,4376,Other,18.04861,102.66083,Asia,Lao People's Democratic Republic,Vientiane capital,Don Noun,Unknown,28/01/2004,28/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2940.0,2940.0,700.0,,,,,,2004.07671,21
